,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
1529,2022-07-31 12:00:00,1420.0,932.5,14.03,1060.0,4.8500004,4.0
1539,2022-07-31 13:00:00,1417.0,1166.0,13.81,1333.0,4.78,4.0
1549,2022-07-31 14:00:00,1242.0,414.0,14.98,539.0,8.28,3.0
1550,2022-07-31 14:00:00,1417.0,1268.0,16.240002,1410.0,3.6350002,4.0
1558,2022-07-31 15:00:00,1417.0,443.5,15.655,581.0,8.620001,3.0
1559,2022-07-31 15:00:00,1417.0,1024.0,12.55,1197.0,5.3,4.0
1570,2022-07-31 16:00:00,725.0,529.0,15.62,613.0,4.98,4.0
1578,2022-07-31 17:00:00,1165.0,905.0,14.44,1019.0,4.41,4.0
1580,2022-07-31 17:00:00,973.0,338.0,15.48,428.5,8.165,3.0
1586,2022-07-31 18:00:00,1165.0,302.5,16.66,416.5,10.425,3.0
1587,2022-07-31 18:00:00,1417.0,1128.0,14.93,1255.0,4.08,4.0
1593,2022-07-31 19:00:00,1257.0,758.0,15.08,886.0,5.37,4.0
1594,2022-07-31 19:00:00,994.0,223.0,17.44,333.0,11.3,3.0
1599,2022-07-31 20:00:00,1878.0,432.0,17.94,570.0,9.01,3.0
1600,2022-07-31 20:00:00,1580.0,758.0,16.64,866.0,5.99,4.0
1601,2022-07-31 21:00:00,697.0,196.0,18.88,256.0,11.18,3.0
1602,2022-07-31 21:00:00,850.0,589.0,18.915,667.0,5.01,4.0
1603,2022-07-31 22:00:00,1731.0,228.0,21.84,384.0,16.21,2.0
1604,2022-07-31 22:00:00,687.0,241.5,11.184999,302.5,8.219999,3.0
1609,2022-08-01 06:00:00,827.5,491.0,19.5,561.0,6.315,4.0
1610,2022-08-01 07:00:00,1127.0,588.5,17.175,680.5,4.725,4.0
1616,2022-08-01 07:00:00,857.5,209.0,19.045,290.0,11.025,3.0
1627,2022-08-01 10:00:00,1765.0,648.0,12.425,807.0,7.87,3.0
1629,2022-08-01 10:00:00,1765.0,809.5,12.145,950.5,5.79,4.0
1631,2022-08-01 11:00:00,1420.0,509.0,10.745,630.0,8.08,3.0
1633,2022-08-01 11:00:00,922.0,507.0,10.46,605.0,7.01,4.0
1634,2022-08-01 12:00:00,1731.0,339.0,18.94,471.0,10.2,3.0
1635,2022-08-01 12:00:00,1399.0,790.0,15.11,943.0,4.57,4.0
1636,2022-08-01 13:00:00,1399.0,606.5,18.580002,737.5,6.54,4.0
1637,2022-08-01 13:00:00,1420.0,378.0,19.99,505.0,9.46,3.0
1638,2022-08-01 14:00:00,1417.0,746.0,20.62,820.0,5.38,4.0
1639,2022-08-01 14:00:00,1203.5,311.0,19.915,431.0,10.255,3.0
1640,2022-08-01 15:00:00,1731.0,322.5,23.675,455.5,12.62,3.0
1641,2022-08-01 15:00:00,1223.0,763.0,20.39,874.0,4.16,4.0
1642,2022-08-01 16:00:00,905.5,240.0,19.395,320.0,10.25,3.0
1645,2022-08-01 16:00:00,1417.0,1035.0,18.72,1172.0,4.36,4.0
1654,2022-08-01 17:00:00,1175.0,329.5,18.53,432.0,9.77,3.0
1656,2022-08-01 17:00:00,1175.0,791.0,16.91,853.5,4.3500004,4.0
1664,2022-08-01 18:00:00,1731.0,394.0,15.2,550.0,11.25,3.0
1665,2022-08-01 18:00:00,1225.0,631.0,18.77,741.0,5.85,4.0
1669,2022-08-01 19:00:00,1257.0,407.5,23.32,520.5,8.684999,3.0
1670,2022-08-01 19:00:00,1225.0,724.0,19.61,850.0,4.85,4.0
1671,2022-08-01 20:00:00,1218.0,407.0,20.28,517.0,8.24,3.0
